fact,category
Magnetic Hill in Ladakh features an optical illusion caused by the surrounding landscape that makes stationary cars appear to roll uphill against gravity when left in neutral.,History
"The 7-meter-tall Iron Pillar of Delhi, forged during the Gupta Empire in the 4th century AD, possesses a high phosphorus content that has prevented it from rusting for over 1,600 years.",History
"India's first voter, Shyam Saran Negi from Himachal Pradesh, cast his historic vote in October 1951, months ahead of the general election, because heavy winter snows would have blocked his polling station.",History
The Diomede Islands are only 2.4 miles apart but have a 21-hour time difference because the International Date Line passes between them.,Geography
Point Nemo is the farthest place from land on Earth. It is so isolated that the closest humans to it are often astronauts aboard the International Space Station.,Geography
"Australia is wider than the moon; the moon's diameter is about 3,400 kilometers, while Australia's horizontal expanse is nearly 4,000 kilometers.",Geography
"Mount Chimborazo in Ecuador, not Mount Everest, is the closest place on Earth to space, due to the Earth's bulge at the equator.",Geography
"Russia has 11 different time zones, meaning when one side of the country is eating breakfast, the other side is getting ready for bed.",Geography
"The Dead Sea is currently sinking at a rate of about 1 meter per year, and its surface is the lowest point on dry land, at over 430 meters below sea level.",Geography
"Derinkuyu, an ancient multi-level underground city in Turkey, could completely shelter up to 20,000 people along with their livestock and food stores.",Geography
Mawsynram in India receives so much annual rainfall (around 467 inches) that local bridge-builders weave living tree roots into functional bridges to avoid rot.,Geography
"The Atacama Desert in Chile is the driest non-polar desert on Earth, with some weather stations there having never recorded a single drop of rain.",Geography
"Lake Baikal in Siberia contains about 20% of the world's unfrozen surface fresh water, more than all five of the North American Great Lakes combined.",Geography
"The Kingdom of Lesotho is the only independent country on Earth where every single square inch of its territory lies above 1,400 meters in elevation.",Geography
"In Canada, there is an unnamed island within a lake, which is inside an island, which is inside a lake, which is on an island (Victoria Island).",Geography
"The Pacific Ocean is wider than all of the Earth's continents and landmasses combined, stretching across nearly half the globe at its widest point.",Geography
Iceland expands by about 2 centimeters every year because it sits directly on the boundary of the splitting North American and Eurasian tectonic plates.,Geography
The Amazon River pushes so much fresh water into the Atlantic Ocean that it dilutes the sea's salinity for over 100 miles offshore.,Geography
"Ferdinandea, a volcanic island near Sicily, has emerged from underwater, been claimed by four different nations, and sunk back beneath the waves multiple times.",Geography
"The Danakil Depression in Ethiopia features neon-colored hydrothermal pools of boiling acid, toxic gases, and salt flats, looking entirely extraterrestrial.",Geography
"Istanbul, Turkey, is the only major metropolis in the world that spans across two distinct continents: Europe and Asia.",Geography
"The Caspian Sea is so massive that despite being called a sea due to its ancient name and salinity, it is legally and structurally classified as the world's largest lake.",Geography
"Lake Hillier in Australia is naturally a bright pink color, and scientists discovered the hue comes from a unique mixture of algae and halophilic bacteria.",Geography
"Monowi, Nebraska, is the only incorporated municipality in the United States with a population of exactly one person, who acts as mayor, clerk, and bartender.",Geography
"The Kerguelen Islands are so isolated they are known as the 'Desolation Islands,' located over 2,000 miles from any civilization in the southern Indian Ocean.",Geography
"The English Channel is so narrow at its tightest bottleneck (the Strait of Dover) that on a clear day, you can easily see the cliffs of France from England.",Geography
Angel Falls in Venezuela is so incredibly tall (979 meters) that most of the falling water turns into mist before it even hits the ground.,Geography
"The highest peak in the Kingdom of the Netherlands is actually Mount Scenery, located on the Caribbean island of Saba, not in Europe.",Geography
